userId,productId,interactionType,value,reviewStars,category,createdAt
user_166,68a5ed913d297682284a1892,view,0,0,Wrist Watches,2025-08-11 01:49:16.970024
user_674,68a5ed933d297682284a1a6e,purchase,3,1,Jeans,2025-07-23 02:43:16.970049
user_5,68a5ed923d297682284a196d,view,0,0,Shoes,2025-01-04 06:13:16.970060
user_316,68a5ed923d297682284a194f,add_to_cart,2,0,Shoes,2025-05-11 03:03:16.970070
user_634,68a5ed933d297682284a1a03,add_to_cart,2,0,Wrist Watches,2025-06-02 08:06:16.970078
user_753,68a5ed913d297682284a1900,view,0,0,Shoes,2024-10-10 14:48:16.970086
user_914,68a5ed913d297682284a18d5,view,0,0,Wrist Watches,2025-07-22 01:23:16.970094
user_429,68a5ed933d297682284a1a6e,view,0,0,Jeans,2024-12-22 00:52:16.970099
user_31,68a5ed933d297682284a1a56,add_to_cart,3,0,T-Shirts,2025-04-29 10:40:16.970106
user_768,68a5ed933d297682284a1a01,view,0,0,Jeans,2025-04-20 04:28:16.970112
user_976,68a5ed913d297682284a18e6,add_to_cart,2,0,Wrist Watches,2024-09-01 16:26:16.970119
user_328,68a5ed923d297682284a199c,view,0,0,Wrist Watches,2025-02-17 14:37:16.970126
user_918,68a5ed913d297682284a1903,view,0,0,T-Shirts,2024-11-23 20:10:16.970132
user_468,68a5ed923d297682284a1957,add_to_cart,3,0,Wrist Watches,2024-08-20 16:41:16.970138
user_817,68a5ed923d297682284a1980,add_to_cart,3,0,T-Shirts,2025-03-26 06:21:16.970145
user_678,68a5ed913d297682284a18d4,view,0,0,Wrist Watches,2024-09-10 14:28:16.970151
user_798,68a5ed933d297682284a1a6a,view,0,0,T-Shirts,2024-09-09 13:59:16.970157
user_386,68a5ed923d297682284a1979,view,0,0,Shoes,2025-03-10 21:19:16.970163
user_50,68a5ed913d297682284a18cc,add_to_cart,2,0,Jeans,2025-08-09 15:23:16.970170
user_632,68a5ed933d297682284a1a27,view,0,0,Shoes,2025-03-13 12:44:16.970176
user_786,68a5ed933d297682284a1a33,view,0,0,T-Shirts,2024-09-08 08:35:16.970182
user_711,68a5ed913d297682284a18ba,view,0,0,Wrist Watches,2024-10-06 11:30:16.970188
user_63,68a5ed933d297682284a1a39,view,0,0,Jeans,2025-03-10 21:56:16.970195
user_110,68a5ed913d297682284a1929,add_to_cart,1,0,Jeans,2024-11-21 08:42:16.970203
user_752,68a5ed933d297682284a19f1,view,0,0,Shoes,2024-09-26 05:48:16.970210
user_117,68a5ed923d297682284a195e,view,0,0,T-Shirts,2024-10-16 15:27:16.970216
user_666,68a5ed923d297682284a1948,view,0,0,T-Shirts,2025-01-30 17:15:16.970223
user_795,68a5ed923d297682284a1961,view,0,0,T-Shirts,2025-06-17 09:45:16.970228
user_500,68a5ed923d297682284a1952,view,0,0,Wrist Watches,2024-10-18 17:36:16.970233
user_246,68a5ed923d297682284a19b9,view,0,0,T-Shirts,2024-09-02 18:45:16.970239
user_145,68a5ed913d297682284a1904,add_to_cart,3,0,Wrist Watches,2025-03-09 19:58:16.970246
user_774,68a5ed933d297682284a1a84,view,0,0,Jeans,2025-04-10 14:28:16.970251
user_731,68a5ed933d297682284a1a03,view,0,0,Wrist Watches,2025-08-16 07:11:16.970256
user_642,68a5ed923d297682284a19b0,view,0,0,T-Shirts,2025-01-07 20:33:16.970262
user_883,68a5ed933d297682284a19da,add_to_cart,1,0,T-Shirts,2025-07-04 03:22:16.970282
user_674,68a5ed913d297682284a190f,view,0,0,Wrist Watches,2025-04-04 18:07:16.970288
user_416,68a5ed923d297682284a195c,add_to_cart,2,0,Jeans,2024-10-18 17:53:16.970294
user_105,68a5ed913d297682284a18ca,add_to_cart,3,0,Shoes,2025-02-02 22:06:16.970300
user_353,68a5ed933d297682284a1a40,view,0,0,Shoes,2025-06-04 14:28:16.970306
user_775,68a5ed933d297682284a1a20,add_to_cart,3,0,Jeans,2025-07-25 14:08:16.970312
user_466,68a5ed933d297682284a19f2,view,0,0,Wrist Watches,2024-11-05 17:39:16.970317
user_135,68a5ed923d297682284a19a9,purchase,2,5,Wrist Watches,2025-05-30 17:22:16.970328
user_196,68a5ed933d297682284a1a83,view,0,0,T-Shirts,2025-01-09 11:57:16.970334
user_744,68a5ed913d297682284a18b7,view,0,0,Wrist Watches,2025-06-13 04:19:16.970339
user_819,68a5ed933d297682284a19dc,add_to_cart,2,0,Shoes,2025-06-17 11:41:16.970346
user_647,68a5ed913d297682284a188a,view,0,0,Shoes,2024-12-11 12:02:16.970352
user_770,68a5ed913d297682284a1925,add_to_cart,3,0,Jeans,2025-07-12 12:55:16.970358
user_374,68a5ed913d297682284a18e2,add_to_cart,1,0,Wrist Watches,2025-08-06 04:45:16.970363
user_947,68a5ed913d297682284a193e,view,0,0,Wrist Watches,2024-09-22 20:59:16.970369
user_500,68a5ed923d297682284a1987,view,0,0,Jeans,2025-07-11 13:02:16.970375
user_903,68a5ed933d297682284a1a63,view,0,0,T-Shirts,2025-02-28 02:03:16.970380
user_692,68a5ed913d297682284a1933,view,0,0,T-Shirts,2025-05-12 07:08:16.970386
user_262,68a5ed913d297682284a1913,view,0,0,T-Shirts,2025-01-10 17:39:16.970392
user_813,68a5ed923d297682284a19cc,view,0,0,Jeans,2024-12-30 09:29:16.970399
user_797,68a5ed923d297682284a19c7,view,0,0,Shoes,2025-07-12 19:13:16.970405
user_891,68a5ed913d297682284a1932,add_to_cart,3,0,Jeans,2025-06-07 05:33:16.970412
user_527,68a5ed923d297682284a1958,add_to_cart,1,0,T-Shirts,2025-05-13 10:04:16.970418
user_310,68a5ed913d297682284a1934,view,0,0,Shoes,2025-07-08 00:48:16.970424
user_330,68a5ed933d297682284a1a2a,view,0,0,T-Shirts,2024-12-10 16:31:16.970429
user_589,68a5ed913d297682284a18f0,add_to_cart,3,0,Wrist Watches,2025-04-01 03:17:16.970435
user_869,68a5ed923d297682284a195b,purchase,1,5,Shoes,2025-08-03 01:20:16.970443
user_248,68a5ed913d297682284a190a,view,0,0,T-Shirts,2025-01-20 09:17:16.970448
user_86,68a5ed903d297682284a1877,add_to_cart,1,0,T-Shirts,2025-04-03 18:41:16.970455
user_781,68a5ed913d297682284a1938,view,0,0,T-Shirts,2025-04-05 00:36:16.970464
user_580,68a5ed913d297682284a18fc,add_to_cart,3,0,T-Shirts,2025-05-22 15:45:16.970470
user_712,68a5ed933d297682284a1a5c,add_to_cart,1,0,T-Shirts,2025-01-28 04:59:16.970476
user_451,68a5ed933d297682284a1a56,view,0,0,T-Shirts,2024-11-23 22:14:16.970480
user_462,68a5ed923d297682284a19a3,purchase,2,3,Jeans,2025-04-13 18:20:16.970488
user_272,68a5ed933d297682284a19f5,view,0,0,Wrist Watches,2024-12-17 15:54:16.970494
user_345,68a5ed933d297682284a1a83,view,0,0,T-Shirts,2025-04-12 16:04:16.970498
user_421,68a5ed933d297682284a1a19,view,0,0,Shoes,2025-01-22 07:38:16.970505
user_945,68a5ed913d297682284a1890,view,0,0,Wrist Watches,2024-08-29 23:01:16.970510
user_967,68a5ed913d297682284a193c,view,0,0,Jeans,2024-09-14 06:26:16.970515
user_940,68a5ed923d297682284a1975,add_to_cart,2,0,Wrist Watches,2025-03-30 19:03:16.970521
user_975,68a5ed933d297682284a1a7f,view,0,0,T-Shirts,2025-07-03 17:08:16.970526
user_313,68a5ed913d297682284a18ed,add_to_cart,2,0,Shoes,2025-07-01 14:56:16.970533
user_638,68a5ed923d297682284a1986,view,0,0,Shoes,2025-05-09 03:06:16.970538
user_991,68a5ed923d297682284a199e,view,0,0,T-Shirts,2024-10-03 04:56:16.970545
user_472,68a5ed933d297682284a1a66,view,0,0,Wrist Watches,2025-06-14 13:33:16.970550
user_906,68a5ed933d297682284a1a4f,add_to_cart,2,0,Jeans,2025-04-22 22:32:16.970556
user_344,68a5ed913d297682284a191e,view,0,0,T-Shirts,2024-08-26 20:43:16.970562
user_131,68a5ed923d297682284a19b6,add_to_cart,1,0,T-Shirts,2025-08-10 21:23:16.970568
user_806,68a5ed923d297682284a197a,view,0,0,Wrist Watches,2025-06-10 19:04:16.970575
user_967,68a5ed933d297682284a1a35,add_to_cart,2,0,Wrist Watches,2024-12-05 09:36:16.970581
user_166,68a5ed913d297682284a1922,view,0,0,Jeans,2024-12-07 20:00:16.970586
user_981,68a5ed913d297682284a189a,add_to_cart,2,0,Jeans,2025-06-27 23:39:16.970592
user_294,68a5ed903d297682284a1879,add_to_cart,1,0,T-Shirts,2025-05-26 01:47:16.970598
user_289,68a5ed923d297682284a197f,add_to_cart,2,0,Wrist Watches,2025-07-05 19:50:16.970603
user_397,68a5ed933d297682284a1a66,view,0,0,Wrist Watches,2025-03-18 08:52:16.970609
user_180,68a5ed933d297682284a19fa,view,0,0,T-Shirts,2024-10-13 16:40:16.970614
user_633,68a5ed923d297682284a19a9,view,0,0,Wrist Watches,2025-06-16 12:50:16.970619
user_735,68a5ed913d297682284a18c5,view,0,0,Shoes,2024-10-09 21:10:16.970625
user_216,68a5ed923d297682284a19bd,view,0,0,T-Shirts,2024-11-25 01:03:16.970630
user_168,68a5ed913d297682284a189c,purchase,2,5,T-Shirts,2024-10-23 00:42:16.970639
